,product,title ,rating,body
0,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",What are you waiting for .. just buy it!!,5,"My experience with Fire-Boltt Beast  has been an amazing one. As the name suggests, it's really a beast with 1.69"" HD display. The performance of this watch is great. The best part about this watch is how accurately it measures my Blood Oxygen levels (Spo2), Blood Pressure and BPM (beats per minute). The construction is super lightweight and feels very premium. The HD display is bright and has been keeping up pretty well even under direct sunlight. It has a powerful battery back up of 15 days and I have used it for workouts, and  the water resistance is really impressive. The included strap is also very comfortable and I have had no irritations while wearing it."
1,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Best budget Smart Watch,5,"Fire-Boltt Beast is  the best budget Smart Watch. The main attraction of this watch is its 1.69"" HD screen. No other brand offers such an enormous screen. It's just like carrying a  mini fitness coach on your wrist. It measures Blood oxygen levels accurately. It has  different sports mode  and with its 24*7 heart rate sensor it monitors my every move precisely. The best part it that notifies me about my calls, messages. Battery life is really very good. With always on display u can get up to 8 days. Display quality is awesome. While working out I can even control my music using this watch. I recommend it to everyone."
2,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Awesome,5,"Fire-Boltt Beast Smart Watch is a steal at this price. It super amazing and super awesome with a tons of features. It has wide screen of 1.69"" HD. No other brand had that. It measures my blood oxygen levels so accurately. Its 24*7 heart rate sensor monitors my heart rate. It provides a detailed report after analysing my blood pressure. I love its 10 sports mode and its water resistance. I strongly recommend it to all fitness enthusiasts."
3,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",First impressions is good. Return it ASAP,1,"Your browser does not support HTML5 video.


   I received it just an hour ago and so far I'm really impressed with the quality, I can only give review about its features and performance after using it for few daysI have returned it as soon as I found out the all the sensors I'm the watch are fake, you too can try the same as shown in many videos in the review and return it ASAP"
4,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",AS Described Item,5,"I purchased Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch. I see that watch is enriched with vey useful  functions such as Monitoring: SPO2, Heart Rate, blood pressure, breathe and also numerous sport modes. The watch comes with an Unique Rotating Button & Quick Access Menu, very user-friendly menu and  a bundle of free offers bolt app and gaana memberships.I checked my oxygen level, blood pressure and heart rate. I found that the oxygen level and heart rate readings are consistent, however, blood pressure readings were  on higher side compared to other BP measuring equipments. Over all I am satisfied with the functions of this smart watch and recommend it for purchase for its multifunction uses."
5,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Really happy and satisfied with this product.,5,"At the time of this pandemic, Everyone needs a watch accurately measures SPO2. I am glad that I got my hands on Fire-Boltt Beast. This smart watch  measures my  blood oxygen levels way faster and accurate than any other smart watch. This is the only smartwatch (under this pricing) that has SPO2 function, Measures heartbeat & Calculates Blood Pressure. It notifies me about my calls and I can even control the music and camera with this watch. It has 8 different sports mode and has a powerful battery backup of 15 days."
6,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Recommended for sure,5,"Fire-Boltt Beast is truly an uber cool watch which accurately measures my blood oxygen levels. With 1.69""""HD, full touch screen and metallic design it beats all other smart watches.Apart from monitoring SpO2, the Fire-Boltt Beast can monitor heart rate, blood pressure, and sleep. It also shows notifications from the phone like calls and messages. .The best part of the watch is the battery. I had around 20 per cent battery left after a week’s usage, which is really good. I recommend it to everyone"
7,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Ok quality multifunction smartwatch but sensors not good,3,Awesome watch. Very good quality screen. SpO2 heart rate bp and other features in one watch. I would recommend to all. Go for it.Review after few days of usage. Good watch .heart rate and spO2 sensor is ok but blood pressure sensor is fake always show wrong measure. Not satisfied with the product .
8,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",Worth the money,4,No word would be enough to describe this amazing smart watch.
9,"Fire-Boltt Beast SPO2 1.69"" Full Touch Large HD Color Display Smart Watch, 8 Days Battery Life, IP67 Waterpoof with Heart Rate Monitor, Sleep & Breathe Monitoring with Rotating Button (Black) (Pink)",nice display n look worth it,5,i bought it in 3400 and at this price it nice product with large display
